folio,fecha,hora,hora_num,franja,municipio,coordinacion,incidente,familia,peso_violencia,latitud,longitud,geo_confianza
ECA26072302174,2026-07-23,10:01:00,10,matutina (06-14),ATIZAPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.60447,-99.241625,COORDENADA
ECA26072302210,2026-07-23,10:05:00,10,matutina (06-14),TEQUIXQUIAC,ECATEPEC,RIÑA,rina,1.5,19.874031,-99.134151,COORDENADA
ECA26072302219,2026-07-23,10:06:00,10,matutina (06-14),LA PAZ,ORIENTE,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.367225,-98.9427,COORDENADA
ECA26072302250,2026-07-23,10:09:00,10,matutina (06-14),VALLE DE CHALCO,CHALCO,ROBO A TRANSEUNTE CON VIOLENCIA,robo_violento,2.0,19.30638,-98.93547,COORDENADA
ECA26072302255,2026-07-23,10:10:00,10,matutina (06-14),TULTITLAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.62289,-99.14213,COORDENADA
ECA26072302317,2026-07-23,10:16:00,10,matutina (06-14),CHIMALHUACAN,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.442685,-98.97611,COORDENADA
ECA26072302400,2026-07-23,10:24:00,10,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.40598,-99.008605,COORDENADA
ECA26072302431,2026-07-23,10:27:00,10,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.554565,-99.02836,COORDENADA
ECA26072302445,2026-07-23,10:29:00,10,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.47919,-99.04497,COORDENADA
ECA26072302488,2026-07-23,10:35:00,10,matutina (06-14),VALLE DE CHALCO,CHALCO,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.31529,-98.94875,COORDENADA
ECA26072302542,2026-07-23,10:40:00,10,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.39504,-98.9181,COORDENADA
ECA26072302550,2026-07-23,10:42:00,10,matutina (06-14),TECAMAC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.78026,-98.97478,COORDENADA
ECA26072302554,2026-07-23,10:42:00,10,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.61048,-99.05533,COORDENADA
